 count,0,10,15,30,55,75,80,90
288,0.06,10.06,15.02,30.0,55.02,74.99,79.95,89.91,
289,0.05,10.07,15.03,30.0,55.03,74.98,79.95,89.92,
290,0.07,10.06,15.03,29.97,55.03,74.97,79.95,89.91,
291,0.06,10.07,15.04,29.98,55.04,74.98,79.95,89.92,
292,0.05,10.06,15.06,29.99,55.02,74.98,79.95,89.89,
293,0.05,10.06,15.02,29.98,55.03,74.97,79.95,89.89,
294,0.05,10.07,15.03,29.96,55.03,74.98,79.95,89.9,
295,0.07,10.05,15.02,30.0,55.02,74.97,79.95,89.91,
296,0.07,10.06,15.02,30.0,55.04,74.97,79.95,89.91,
297,0.05,10.07,15.02,29.98,55.06,74.97,79.95,89.92,
298,0.07,10.06,15.03,30.0,55.03,74.98,79.95,89.9,
299,0.06,10.06,15.05,29.98,55.04,74.95,79.93,89.89,
300,0.05,10.06,15.03,30.0,55.02,74.97,79.95,89.9,
301,0.06,10.03,15.02,30.0,55.06,74.97,79.95,89.89,
302,0.05,10.06,15.03,29.98,55.04,74.95,79.95,89.89,
303,0.07,10.06,15.02,30.0,55.03,74.95,79.95,89.9,
304,0.07,10.07,15.02,30.0,55.04,74.97,79.95,89.9,
305,0.06,10.06,15.02,29.98,55.03,74.97,79.95,89.9,
306,0.06,10.05,15.03,29.98,55.03,74.95,79.95,89.91,
307,0.07,10.06,15.0,29.98,55.02,74.98,79.95,89.9,
308,0.04,10.06,15.03,29.98,55.03,74.94,79.95,89.91,
309,0.07,10.05,15.02,29.99,55.02,74.97,79.95,89.92,
310,0.07,10.07,15.02,29.99,55.02,74.97,79.95,89.91,
311,0.05,10.06,15.02,29.98,55.04,74.98,79.95,89.9,
312,0.05,10.06,15.03,29.98,55.02,74.97,79.95,89.9,
313,0.05,10.06,15.03,29.98,55.03,74.94,79.95,89.91,
314,0.06,10.07,15.05,29.98,55.03,74.97,79.95,89.9,
315,0.06,10.06,15.02,29.96,55.03,74.98,79.98,89.91,
316,0.06,10.05,15.02,29.96,55.02,74.95,79.95,89.89,
